"Address","Indexability","Indexability Status","rel=""next"" 1","HTTP rel=""next"" 1","rel=""prev"" 1","HTTP rel=""prev"" 1","Canonical Link Element 1","HTTP Canonical","Meta Robots 1","X-Robots-Tag 1"
"https://www.onlinepokerbonuses.com/","Non-Indexable","Canonicalised","","","","","https://onlinepokerbonuses.com/","","index, follow",""
"https://www.onlinepokerbonuses.com/reviews/betonline-poker/","Non-Indexable","Canonicalised","","","","","https://onlinepokerbonuses.com/reviews/betonline-poker/","","index, follow",""
"https://www.onlinepokerbonuses.com/responsible-gambling/","Non-Indexable","Canonicalised","","","","","https://onlinepokerbonuses.com/responsible-gambling/","","index, follow",""
"https://www.onlinepokerbonuses.com/news/","Non-Indexable","Canonicalised","","","","","https://onlinepokerbonuses.com/news/","","index, follow",""
"https://www.onlinepokerbonuses.com/bonus-types/","Non-Indexable","Canonicalised","","","","","https://onlinepokerbonuses.com/bonus-types/","","index, follow",""
"https://www.onlinepokerbonuses.com/reviews/black-chip-poker/","Non-Indexable","Canonicalised","","","","","https://onlinepokerbonuses.com/reviews/black-chip-poker/","","index, follow",""
"https://www.onlinepokerbonuses.com/canada/","Non-Indexable","Canonicalised","","","","","https://onlinepokerbonuses.com/canada/","","index, follow",""
"https://www.onlinepokerbonuses.com/news/crypto-network-fees-poker-deposits-2026/","Non-Indexable","Canonicalised","","","","","https://onlinepokerbonuses.com/news/crypto-network-fees-poker-deposits-2026/","","index, follow",""
"https://www.onlinepokerbonuses.com/reviews/americas-cardroom/","Non-Indexable","Canonicalised","","","","","https://onlinepokerbonuses.com/reviews/americas-cardroom/","","index, follow",""
"https://www.onlinepokerbonuses.com/reviews/sportsbetting-ag/","Non-Indexable","Canonicalised","","","","","https://onlinepokerbonuses.com/reviews/sportsbetting-ag/","","index, follow",""
"https://www.onlinepokerbonuses.com/reviews/tigergaming/","Non-Indexable","Canonicalised","","","","","https://onlinepokerbonuses.com/reviews/tigergaming/","","index, follow",""
"https://www.onlinepokerbonuses.com/about/","Non-Indexable","Canonicalised","","","","","https://onlinepokerbonuses.com/about/","","index, follow",""
"https://www.onlinepokerbonuses.com/best-poker-bonuses/","Non-Indexable","Canonicalised","","","","","https://onlinepokerbonuses.com/best-poker-bonuses/","","index, follow",""
"https://www.onlinepokerbonuses.com/usa/","Non-Indexable","Canonicalised","","","","","https://onlinepokerbonuses.com/usa/","","index, follow",""
"https://www.onlinepokerbonuses.com/how-to-claim/","Non-Indexable","Canonicalised","","","","","https://onlinepokerbonuses.com/how-to-claim/","","index, follow",""
"https://www.onlinepokerbonuses.com/news/icm-explained-tournament-poker-2026/","Non-Indexable","Canonicalised","","","","","https://onlinepokerbonuses.com/news/icm-explained-tournament-poker-2026/","","index, follow",""
"https://www.onlinepokerbonuses.com/news/ontario-regulated-vs-offshore-poker-2026/","Non-Indexable","Canonicalised","","","","","https://onlinepokerbonuses.com/news/ontario-regulated-vs-offshore-poker-2026/","","index, follow",""
"https://www.onlinepokerbonuses.com/news/freeroll-strategy-build-bankroll-from-zero-2026/","Non-Indexable","Canonicalised","","","","","https://onlinepokerbonuses.com/news/freeroll-strategy-build-bankroll-from-zero-2026/","","index, follow",""
"https://www.onlinepokerbonuses.com/news/mystery-bounty-strategy-2026/","Non-Indexable","Canonicalised","","","","","https://onlinepokerbonuses.com/news/mystery-bounty-strategy-2026/","","index, follow",""
"https://www.onlinepokerbonuses.com/news/clear-2000-poker-bonus-guide/","Non-Indexable","Canonicalised","","","","","https://onlinepokerbonuses.com/news/clear-2000-poker-bonus-guide/","","index, follow",""
"https://www.onlinepokerbonuses.com/news/poker-bonus-codes-2026-guide/","Non-Indexable","Canonicalised","","","","","https://onlinepokerbonuses.com/news/poker-bonus-codes-2026-guide/","","index, follow",""
"https://www.onlinepokerbonuses.com/news/rakeback-wars-wpn-chico-2026/","Non-Indexable","Canonicalised","","","","","https://onlinepokerbonuses.com/news/rakeback-wars-wpn-chico-2026/","","index, follow",""
"https://www.onlinepokerbonuses.com/news/venom-2026-bonus-hunters/","Non-Indexable","Canonicalised","","","","","https://onlinepokerbonuses.com/news/venom-2026-bonus-hunters/","","index, follow",""
"https://www.onlinepokerbonuses.com/news/canada-online-poker-2026/","Non-Indexable","Canonicalised","","","","","https://onlinepokerbonuses.com/news/canada-online-poker-2026/","","index, follow",""
