"Address","Title 1","Occurrences","HTML hreflang 1","HTML hreflang 1 URL","HTTP hreflang 1","HTTP hreflang 1 URL","Sitemap hreflang 1","Sitemap hreflang 1 URL","Indexability","Indexability Status"
"https://www.onlinepokerbonuses.com/","Best Online Poker Bonuses 2026 — US & Canada","0","","","","","","","Non-Indexable","Canonicalised"
"https://www.onlinepokerbonuses.com/reviews/betonline-poker/","BetOnline Poker Review 2026 — 100% up to $1,000 Bonus (Code POKER1000) | OnlinePokerBonuses.com","0","","","","","","","Non-Indexable","Canonicalised"
"https://www.onlinepokerbonuses.com/responsible-gambling/","Responsible Gambling — Play Safe & Get Support | OnlinePokerBonuses.com","0","","","","","","","Non-Indexable","Canonicalised"
"https://www.onlinepokerbonuses.com/news/","Poker News & Bonus Updates 2026 — US & Canada | OnlinePokerBonuses.com","0","","","","","","","Non-Indexable","Canonicalised"
"https://www.onlinepokerbonuses.com/bonus-types/","Types of Poker Bonuses Explained — Welcome, No Deposit & Rakeback | OnlinePokerBonuses.com","0","","","","","","","Non-Indexable","Canonicalised"
"https://www.onlinepokerbonuses.com/reviews/black-chip-poker/","Black Chip Poker Review 2026 — 100% up to $2,000 Bonus (Code CP1000BCP) | OnlinePokerBonuses.com","0","","","","","","","Non-Indexable","Canonicalised"
"https://www.onlinepokerbonuses.com/canada/","Best Canada Online Poker Bonuses 2026 — For Canadian Players | OnlinePokerBonuses.com","0","","","","","","","Non-Indexable","Canonicalised"
"https://www.onlinepokerbonuses.com/news/crypto-network-fees-poker-deposits-2026/","Crypto Network Fees: The Hidden Cost of Funding Your Poker Account | OnlinePokerBonuses.com","0","","","","","","","Non-Indexable","Canonicalised"
"https://www.onlinepokerbonuses.com/reviews/americas-cardroom/","Americas Cardroom Review 2026 — 100% up to $2,000 Bonus (Code WELCOME100) | OnlinePokerBonuses.com","0","","","","","","","Non-Indexable","Canonicalised"
"https://www.onlinepokerbonuses.com/reviews/sportsbetting-ag/","SportsBetting.ag Review 2026 — 100% up to $1,000 Bonus (Code NEWSB) | OnlinePokerBonuses.com","0","","","","","","","Non-Indexable","Canonicalised"
"https://www.onlinepokerbonuses.com/reviews/tigergaming/","TigerGaming Review 2026 — 100% up to $1,000 Bonus (Code NEWTG) | OnlinePokerBonuses.com","0","","","","","","","Non-Indexable","Canonicalised"
"https://www.onlinepokerbonuses.com/about/","About OnlinePokerBonuses.com — Independent Poker Bonus Reviews | OnlinePokerBonuses.com","0","","","","","","","Non-Indexable","Canonicalised"
"https://www.onlinepokerbonuses.com/best-poker-bonuses/","Best Online Poker Bonuses 2026 — Ranked & Compared | OnlinePokerBonuses.com","0","","","","","","","Non-Indexable","Canonicalised"
